title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"Minority Report",movie,"Action, Crime, Mystery",2002,tt0181689,7.6,596796,"AG, AR, BB, BO, BZ, CL, CO, CR, DO, EC, GT, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Jackie Brown",movie,"Crime, Drama, Thriller",1997,tt0119396,7.5,385281,"AE, BH, DK, EG, FI, IQ, IS, IT, JO, KW, LB, LY, MC, MT, NO, OM, QA, SA, SE, SM, TR, YE"
"Sin City: A Dame to Kill For",movie,"Action, Crime, Thriller",2014,tt0458481,6.5,173362,"AU, FJ, NZ, SG"
"The Name of the Rose",movie,"Drama, Mystery, Thriller",1986,tt0091605,7.7,121062,ES
Amélie,movie,"Comedy, Romance",2001,tt0211915,8.3,810866,"JP, TH"
"Saw III",movie,"Horror, Mystery, Thriller",2006,tt0489270,6.2,218786,"AL, AT, AZ, BG, BR, BY, CZ, DE, DK, EE, FI, GB, GG, GI, GR, HR, HU, IE, IS, LI, LT, LU, LV, MD, ME, MK, MT, NO, PL, RO, RS, SE, SI, SK, UA"
"Saw II",movie,"Horror, Mystery",2005,tt0432348,6.6,284642,"AL, AT, AZ, BG, BR, BY, CZ, DE, DK, EE, ES, FI, GB, GG, GI, GR, HR, HU, IE, IS, LI, LT, LU, LV, MD, ME, MK, MT, NO, PL, PT, RO, RS, SE, SI, SK, UA"
"Indiana Jones and the Kingdom of the Crystal Skull",movie,"Action, Adventure",2008,tt0367882,6.2,499391,"AG, AR, BB, BO, BZ, CL, CO, CR, DO, EC, GT, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
Volver,movie,"Comedy, Drama",2006,tt0441909,7.6,109266,"AG, AR, BB, BO, BR, BZ, CL, CO, CR, CU, DO, EC, ES, GF, GT, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
Syriana,movie,"Drama, Thriller",2005,tt0365737,6.9,135839,BE
"Stand by Me",movie,"Adventure, Comedy, Drama",1986,tt0092005,8.1,456660,"AE, AG, AR, AZ, BB, BM, BO, BR, BS, BY, BZ, CA, CL, CO, CR, CU, CY, DO, EC, FJ, GB, GF, GG, GI, GR, GT, HK, HN, ID, IE, IS, JM, LC, MD, MX, MY, NI, PA, PE, PH, PY, SG, SV, TC, TH, TT, TW, UA, US, UY, VE"
"The Godfather",movie,"Crime, Drama",1972,tt0068646,9.2,2087570,"AD, AE, AG, AL, AO, AR, AT, AU, BA, BB, BE, BG, BH, BO, BR, BZ, CA, CH, CI, CL, CM, CO, CR, CV, CZ, DE, DK, DO, DZ, EC, EG, ES, FI, FJ, FR, GF, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IL, IN, IQ, IS, IT, JM, JO, KE, KR, KW, LB, LC, LI, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TD, TH, TN, TR, TT, TZ, UG, UY, VE, YE, ZA, ZM, ZW"
"The Godfather Part II",movie,"Crime, Drama",1974,tt0071562,9,1407941,"AO, CI, CM, CV, GH, GQ, KE, MG, ML, MU, MZ, NE, NG, SC, SN, TD, TZ, UG, ZA, ZM, ZW"
"In China They Eat Dogs",movie,"Action, Comedy, Crime",1999,tt0180748,7.3,23490,"DK, FI, NO, SE"
Ghost,movie,"Drama, Fantasy, Romance",1990,tt0099653,7.1,244394,"AG, AR, BB, BO, BZ, CL, CO, CR, DO, EC, GT, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"King Kong",movie,"Action, Adventure, Romance",2005,tt0360717,7.2,455392,US
"Live Flesh",movie,Drama,1997,tt0118819,7.3,34482,"AG, AR, BB, BO, BR, BZ, CL, CO, CR, CU, DO, EC, ES, GT, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Batman Begins",movie,"Action, Drama",2005,tt0372784,8.2,1624366,"AD, AT, AU, CH, DE, ES, IT, JP, KR, LI, LU, NZ, PT, SM"
"The Shawshank Redemption",movie,Drama,1994,tt0111161,9.3,2991005,"AD, BA, BE, BG, CA, CV, CZ, ES, HR, HU, JP, MD, ME, MK, MZ, NL, PL, PT, RO, RS, SI, SK"
"Terminator 2: Judgment Day",movie,"Action, Adventure, Sci-Fi",1991,tt0103064,8.6,1214254,"AD, AE, AO, AR, AU, BE, BH, BO, BR, BZ, CA, CH, CL, CO, CR, CV, CY, DK, DZ, EC, EG, ES, FI, FR, GF, GH, GQ, GR, GT, HK, HN, IL, IQ, IS, IT, JO, JP, KE, KR, KW, LB, LU, LY, MA, MC, MX, MZ, NG, NI, NO, NZ, OM, PA, PE, PF, PL, PS, PT, PY, QA, SA, SC, SE, SV, TN, TR, TW, TZ, UG, UY, VE, YE, ZA, ZM, ZW"
"A River Runs Through It",movie,Drama,1992,tt0105265,7.2,67143,KR
"Terminator 3: Rise of the Machines",movie,"Action, Sci-Fi",2003,tt0181852,6.3,425381,EE
"Ocean's Thirteen",movie,"Crime, Thriller",2007,tt0496806,6.9,374404,"BE, CH, IT, SM"
"Swimming Pool",movie,"Crime, Drama, Mystery",2003,tt0324133,6.7,49382,"BG, EE, GR, IS, LI, LT, LV, NL, PT, RO"
"Beverly Hills Cop III",movie,"Action, Comedy, Crime",1994,tt0109254,5.5,96627,"ES, KR, NZ"
"Bruce Almighty",movie,"Comedy, Fantasy",2003,tt0315327,6.8,446510,"CA, US"
"Mystic River",movie,"Crime, Drama, Mystery",2003,tt0327056,7.9,498021,"AD, BE, CH, ES, FR, GF, IT, LU, MC, PF, PT, SM"
"Jurassic Park",movie,"Action, Adventure, Sci-Fi",1993,tt0107290,8.2,1101518,CA
"The Lost World: Jurassic Park",movie,"Action, Adventure, Sci-Fi",1997,tt0119567,6.6,453967,CA
"Jurassic Park III",movie,"Action, Adventure, Sci-Fi",2001,tt0163025,5.9,348516,CA
"Eyes Wide Shut",movie,"Drama, Mystery, Thriller",1999,tt0120663,7.5,391626,"AD, ES, GB, GG, IE, PT"
"Das Boot",movie,"Drama, War",1981,tt0082096,8.4,274577,"BE, DK, FI, LU, MT, NL, NO, SE"
