title,type,genres,releaseYear,imdbAverageRating,imdbNumVotes,availableCountries
Gladiator,movie,"Action, Adventure, Drama",2000.0,8.5,1718593.0,"CA, KR"
All About My Mother,movie,"Comedy, Drama, Romance",1999.0,7.8,105497.0,ES
Léon: The Professional,movie,"Action, Crime, Drama",1994.0,8.5,1285447.0,"CA, JP"
Open Hearts,movie,"Drama, Romance",2002.0,7.5,11176.0,"DK, FI, NO, SE"
Taxi Driver,movie,"Crime, Drama",1976.0,8.2,960254.0,"AE, AG, AO, AR, AT, BB, BH, BM, BO, BR, BS, BZ, CH, CI, CL, CM, CO, CR, CU, CV, CY, DE, DO, DZ, EC, EE, EG, GH, GQ, GR, GT, HN, IL, IQ, IT, JM, JO, KE, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MG, ML, MT, MX, MZ, NE, NG, NI, NZ, OM, PA, PE, PS, PY, QA, SA, SC, SM, SN, SV, TC, TN, TR, TT, TZ, UG, UY, VE, YE, ZA, ZM, ZW"
Run Lola Run,movie,"Action, Crime, Thriller",1998.0,7.6,211670.0,"AT, CH, DE, LI, LU"
Snatch,movie,"Comedy, Crime",2000.0,8.2,934057.0,"AD, AT, BE, CA, CH, CY, DE, EE, ES, FJ, FR, GB, GF, GG, GI, GR, HK, ID, IE, IL, IN, IT, LI, LT, LU, LV, MC, MT, MU, MY, NZ, PF, PH, PK, PT, SG, SM, TH, TR, TW"
Scarface,movie,"Crime, Drama",1983.0,8.3,948338.0,CA
Italian for Beginners,movie,"Comedy, Drama, Romance",2000.0,7.0,14093.0,"DK, FI, NO, SE"
Charlie and the Chocolate Factory,movie,"Adventure, Comedy, Family",2005.0,6.7,544822.0,"AD, AT, BE, CH, DE, ES, FJ, FR, GF, HK, ID, IT, JP, KR, LI, LU, MC, MY, PF, PH, PK, PT, SG, SM, TH, TW"
The Lord of the Rings: The Fellowship of the Ring,movie,"Adventure, Drama, Fantasy",2001.0,8.9,2076504.0,"AU, CH, IN, IT, JP, KR, NZ, SM"
The Lord of the Rings: The Two Towers,movie,"Adventure, Drama, Fantasy",2002.0,8.8,1845894.0,"AU, CH, IN, IT, JP, KR, NZ, SM"
The Lord of the Rings: The Return of the King,movie,"Adventure, Drama, Fantasy",2003.0,9.0,2047256.0,"AU, CH, IN, IT, JP, KR, NZ, SM"
