title,type,genres,releaseYear,imdbAverageRating,imdbNumVotes,availableCountries,movie_quality_score,movie_quality_category
PK,movie,"Comedy, Drama, Sci-Fi",2014.0,8.1,207597.0,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GT, HK, HN, HR, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PS, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UG, US, UY, VE, YE, ZA, ZM, ZW",8.444444444444445,High
Like Stars on Earth,movie,"Drama, Family",2007.0,8.3,214285.0,TZ,8.444444444444445,High
Squid Game,tv,"Action, Drama, Mystery",2021.0,8.0,619825.0,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UA, UG, US, UY, VE, YE, ZA, ZM, ZW",8.444444444444445,High
Grave of the Fireflies,movie,"Animation, Drama, War",1988.0,8.5,335923.0,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UA, UG, US, UY, VE, YE, ZA, ZM, ZW",8.444444444444445,High
Harry Potter and the Deathly Hallows: Part 2,movie,"Adventure, Family, Fantasy",2011.0,8.1,981566.0,"AT, AU, CH, DE, GB, GG, IE, IT, JP, LI, LU, SM",8.444444444444445,High
Gran Torino,movie,Drama,2008.0,8.1,831170.0,CA,8.444444444444445,High
Slumdog Millionaire,movie,"Crime, Drama, Romance",2008.0,8.0,889609.0,"AU, FJ, NZ, TW",8.444444444444445,High
Django Unchained,movie,"Comedy, Drama, Western",2012.0,8.5,1757070.0,"AD, AG, AL, AR, AT, AU, BA, BB, BG, BM, BO, BR, BS, BZ, CA, CH, CL, CO, CR, CU, CY, CZ, DE, DK, DO, DZ, EC, EE, ES, FI, FR, GF, GR, GT, HN, HR, HU, IS, JM, KR, LC, LI, LT, LU, LV, MA, MC, ME, MK, MU, MX, NI, NO, NZ, PA, PE, PF, PT, PY, RO, RS, SE, SI, SK, SV, TC, TN, TT, UY, VE",8.444444444444445,High
Fight Club,movie,Drama,1999.0,8.8,2418346.0,PK,8.444444444444445,High
Rashomon,movie,"Crime, Drama, Mystery",1950.0,8.2,186701.0,JP,8.444444444444445,High
